"year","make","model","mpg"
2001,"BIG DOG","HUSKY",55
2001,"BIG DOG","MASTIFF",null
2001,"BIG DOG","PITBULL",null
2001,"BIG DOG","PRO SPORT",null
2001,"BIG DOG","VINTAGE SPORT",null
2001,"BIG DOG","WOLF",102
2001,"BIMOTA","SB8R",null
2001,"BLUE BIRD","ALL AMERICAN",26
2001,"BLUE BIRD","SHL TC2000",142
2001,"BLUE BIRD","TC2000",83
2001,"BLUE BIRD","WANDERLODGE",null
2001,"BMW","320I",97
2001,"BMW","323I",94
2001,"BMW","325CI",null
2001,"BMW","325I",34
2001,"BMW","325XI",null
2001,"BMW","330CI",104
2001,"BMW","330I",136
2001,"BMW","330XI",null
2001,"BMW","525I",72
2001,"BMW","530I",null
2001,"BMW","540I",14
2001,"BMW","740I",103
2001,"BMW","740IL",null
2001,"BMW","750IL",84
2001,"BMW","F650 ENDURO",null
2001,"BMW","F650CS",52
2001,"BMW","F650GS",null
2001,"BMW","F650GS ABS",null
2001,"BMW","F650GS DAKAR",null
2001,"BMW","K1200LT",null
2001,"BMW","K1200LTC",147
2001,"BMW","K1200LTI ICON",null
2001,"BMW","K1200RS",50
2001,"BMW","M3",4
2001,"BMW","M5",21
2001,"BMW","R1100RL",107
2001,"BMW","R1100RS ABS",147
2001,"BMW","R1100RT",null
2001,"BMW","R1100S",null
2001,"BMW","R1100SA",null
2001,"BMW","R1150GS",111
2001,"BMW","R1150R",null
2001,"BMW","R1150RS",85
2001,"BMW","R1150RT",null
2001,"BMW","R1200C",null
2001,"BMW","R1200C AVANTGARDE",42
2001,"BMW","R1200C CLASSIC",36
2001,"BMW","R1200C EURO",null
2001,"BMW","R1200C INDEPENDENT",45
2001,"BMW","R1200C MONTANA",135
2001,"BMW","R1200C PHOENIX",122
2001,"BMW","R1200C STILETTO",null
2001,"BMW","R850R",null
2001,"BMW","X5",139
2001,"BMW","Z3",29
2001,"BMW","Z8",null
2001,"BOMBARDIER","DS650",131
2001,"BOMBARDIER","DS650 BAJA",121
2001,"BOMBARDIER","DS650 RACER",91
2001,"BOMBARDIER","TRAXTER 500 4X4 AUTO",null
2001,"BOMBARDIER","TRAXTER 500 4X4 AUTO XT",83
2001,"BOMBARDIER","TRAXTER 500 XL",null
2001,"BUELL","BLAST",null
2001,"BUELL","M2 CYCLONE",null
2001,"BUELL","S3 THUNDERBOLT",null
2001,"BUELL","S3T THUNDERBOLT",null
2001,"BUELL","X1 LIGHTNING",144
2001,"BUICK","CENTURY",128
2001,"BUICK","LESABRE",66
2001,"BUICK","PARK AVENUE",null
2001,"BUICK","REGAL",null
2001,"CADILLAC","CATERA",133
2001,"CADILLAC","DEVILLE",null
2001,"CADILLAC","ELDORADO",null
2001,"CADILLAC","SEVILLE",null
2001,"CANNONDALE","FX400",null
2001,"CANNONDALE","MX400",null
2001,"CHANCE COACH TRANSIT BUS","CNG-28",30
2001,"CHEVROLET","ASTRA",null
2001,"CHEVROLET","ASTRO",null
2001,"CHEVROLET","B7",null
2001,"CHEVROLET","BLAZER",130
2001,"CHEVROLET","C3500",28
2001,"CHEVROLET","C3500HD",51
2001,"CHEVROLET","C6500 KODIAK",80
2001,"CHEVROLET","C7500 KODIAK",13
2001,"CHEVROLET","CAMARO",null
2001,"CHEVROLET","CAVALIER",null
2001,"CHEVROLET","CHEVY",58
2001,"CHEVROLET","CHEVY PICKUP",null
2001,"CHEVROLET","CORVETTE",137
2001,"CHEVROLET","EXPRESS 1500",131
2001,"CHEVROLET","EXPRESS 2500",46
2001,"CHEVROLET","EXPRESS 3500",null
2001,"CHEVROLET","G30",null
2001,"CHEVROLET","IMPALA",16
2001,"CHEVROLET","LUMINA",null
2001,"CHEVROLET","LUV",null
2001,"CHEVROLET","MALIBU",null
2001,"CHEVROLET","METRO",40
2001,"CHEVROLET","MONTE CARLO",10
2001,"CHEVROLET","P30",null
2001,"CHEVROLET","PRIZM",null
2001,"CHEVROLET","S10",94
2001,"CHEVROLET","SILVERADO 1500",143
2001,"CHEVROLET","SILVERADO 1500 HD",7
2001,"CHEVROLET","SILVERADO 2500",null
2001,"CHEVROLET","SILVERADO 2500 HD",73
2001,"CHEVROLET","SILVERADO 3500",null
2001,"CHEVROLET","SONORA",null
2001,"CHEVROLET","SUBURBAN 1500",null
2001,"CHEVROLET","SUBURBAN 2500",115
2001,"CHEVROLET","T6500",66
2001,"CHEVROLET","T7500",null
2001,"CHEVROLET","TAHOE",null
2001,"CHEVROLET","TRACKER",null
2001,"CHEVROLET","VENTURE",7
2001,"CHEVROLET","W3500 TILTMASTER",129
2001,"CHEVROLET","W4500 TILTMASTER",90
2001,"CHEVROLET","W5500 TILTMASTER",null
2001,"CHRYSLER","300M",111
2001,"CHRYSLER","CIRRUS",null
2001,"CHRYSLER","CONCORDE",null
2001,"CHRYSLER","GRAND VOYAGER",101
2001,"CHRYSLER","INTREPID",null
2001,"CHRYSLER","LHS",27
2001,"CHRYSLER","NEON",2
2001,"CHRYSLER","PROWLER",88
2001,"CHRYSLER","PT CRUISER",47
2001,"CHRYSLER","SEBRING",null
2001,"CHRYSLER","TOWN & COUNTRY",null
2001,"CHRYSLER","VOYAGER",null
2001,"COBRA","CM50",null
2001,"COBRA","KING",null
2001,"DAEWOO","LANOS",68
2001,"DAEWOO","LEGANZA",28
2001,"DAEWOO","NUBIRA",null
2001,"DODGE","ATOS",93
2001,"DODGE","CARAVAN",147
2001,"DODGE","DAKOTA",101
2001,"DODGE","DURANGO",26
2001,"DODGE","GRAND CARAVAN",null
2001,"DODGE","INTREPID",14
2001,"DODGE","NEON",null
2001,"DODGE","RAM 1500",67
2001,"DODGE","RAM 1500 PICKUP",null
2001,"DODGE","RAM 1500 TRUCK",68
2001,"DODGE","RAM 1500 VAN",null
2001,"DODGE","RAM 2500",73
2001,"DODGE","RAM 2500 PICKUP",72
2001,"DODGE","RAM 2500 TRUCK",null
2001,"DODGE","RAM 2500 VAN",null
2001,"DODGE","RAM 3500",33
2001,"DODGE","RAM 3500 PICKUP",9
2001,"DODGE","RAM 3500 TRUCK",null
2001,"DODGE","RAM 3500 VAN",null
2001,"DODGE","RAM 4000",null
2001,"DODGE","STRATUS",75
2001,"DODGE","VIPER",null
2001,"DUCATI",748,null
2001,"DUCATI","748 MONOPOSTO",null
2001,"DUCATI","748R",35
2001,"DUCATI","748S",null
2001,"DUCATI","748S MONOPOSTO",45
2001,"DUCATI","750 SPORT",null
2001,"DUCATI",900,140
2001,"DUCATI","996 BIPOSTO",90
2001,"DUCATI","996 MONOPOSTO",10
2001,"DUCATI","996R",null
2001,"DUCATI","996S",null
2001,"DUCATI","996S MONOPOSTO",66
2001,"DUCATI","MH900E",null
2001,"DUCATI","MONSTER 400",86
2001,"DUCATI","MONSTER 400 METALLIC",143
2001,"DUCATI","MONSTER 600 DARK",null
2001,"DUCATI","MONSTER 750",null
2001,"DUCATI","MONSTER 750 DARK",70
2001,"DUCATI","MONSTER 750 METALLIC",null
2001,"DUCATI","MONSTER 900",null
2001,"DUCATI","MONSTER 900 CROMO",87
2001,"DUCATI","MONSTER 900 DARK",null
2001,"DUCATI","MONSTER 900 METALLIC",null
2001,"DUCATI","MONSTER 900S",82
2001,"DUCATI","MONSTER S4",123
2001,"DUCATI","ST2",null
2001,"DUCATI","ST4",20
2001,"E-TON","AXL 50",null
2001,"E-TON","AXL 90",null
2001,"E-TON","BEAMER",20
2001,"E-TON","DXL 90",105
2001,"E-TON","LIGHTNING 50",null
2001,"E-TON","SIERRA 90",97
2001,"E-TON","TXL 50",null
2001,"E-TON","TXL 90",139
2001,"E-TON","YUKON",126
2001,"E-TON","YXL 150",88
2001,"EL DORADO","E-Z RIDER",72
2001,"EL DORADO","TRANSMARK RE",11
2001,"FERRARI",360,null
2001,"FERRARI","456 M",null
2001,"FERRARI","550 MARANELLO",5
2001,"FORD","COURIER",null
2001,"FORD","CROWN VICTORIA",35
2001,"FORD","E SUPER DUTY",null
2001,"FORD","E-150 ECONOLINE",17
2001,"FORD","E-150 ECONOLINE CLUB WAGON",null
2001,"FORD","E-250 ECONOLINE",86
2001,"FORD","E-350 ECONOLINE",148
2001,"FORD","E-350 ECONOLINE CLUB WAGON",null
2001,"FORD","E-450 ECONOLINE SUPER DUTY",null
2001,"FORD","E-450 ECONOLINE SUPER DUTY S",null
2001,"FORD","E-450 ECONOLINE SUPER DUTY STRIPPED",null
2001,"FORD","ECONOLINE",null
2001,"FORD","ESCAPE",84
2001,"FORD","ESCORT",null
2001,"FORD","EXCURSION",13
2001,"FORD","EXPEDITION",null
2001,"FORD","EXPLORER",null
2001,"FORD","EXPLORER SPORT TRAC",5
2001,"FORD","F-100 RANGER",null
2001,"FORD","F-150",3
2001,"FORD","F-250",12
2001,"FORD","F-250 SUPER DUTY",null
2001,"FORD","F-350",60
2001,"FORD","F-350 SUPER DUTY",null
2001,"FORD","F-450",null
2001,"FORD","F-450 SUPER DUTY",31
2001,"FORD","F-550 SUPER DUTY",null
2001,"FORD","F53",null
2001,"FORD","F650",111
2001,"FORD","F750",95
2001,"FORD","FIESTA",122
2001,"FORD","FOCUS",55
2001,"FORD","GRAND MARQUIS",27
2001,"FORD","KA",82
2001,"FORD","LOBO",null
2001,"FORD","MONDEO",null
2001,"FORD","MUSTANG",135
2001,"FORD","RANGER",118
2001,"FORD","SABLE",null
2001,"FORD","TAURUS",null
2001,"FORD","WINDSTAR",null
2001,"FREIGHTLINER","ARGOSY",null
2001,"FREIGHTLINER","CENTURY CLASS",65
2001,"FREIGHTLINER","CLASSIC",null
2001,"FREIGHTLINER","CLASSIC XL",null
2001,"FREIGHTLINER","COLUMBIA",71
2001,"FREIGHTLINER","CONDOR",109
2001,"FREIGHTLINER","CORONADO",132
2001,"FREIGHTLINER","FC70",null
2001,"FREIGHTLINER","FC80",113
2001,"FREIGHTLINER","FL106",null
2001,"FREIGHTLINER","FL112",null
2001,"FREIGHTLINER","FL50",null
2001,"FREIGHTLINER","FL60",null
2001,"FREIGHTLINER","FL70",null
2001,"FREIGHTLINER","FL80",132
2001,"FREIGHTLINER","FS65",18
2001,"FREIGHTLINER","MT35",null
2001,"FREIGHTLINER","MT45",140
2001,"FREIGHTLINER","MT55",60
2001,"GAS GAS","ENDUCROSS EC 200",null
2001,"GAS GAS","ENDUCROSS EC 250",129
2001,"GAS GAS","ENDUCROSS EC 300",60
2001,"GILLIG","LOW FLOOR",129
2001,"GMC","B7",118
2001,"GMC","C3500",null
2001,"GMC","C3500HD",null
2001,"GMC","C6500 TOPKICK",123
2001,"GMC","C7500 TOPKICK",null
2001,"GMC","JIMMY",57
2001,"GMC","SAFARI",null
2001,"GMC","SAVANA 1500",null
2001,"GMC","SAVANA 2500",null
2001,"GMC","SAVANA 3500",93
2001,"GMC","SIERRA 1500",63
2001,"GMC","SIERRA 1500 HD",null
2001,"GMC","SIERRA 2500",null
2001,"GMC","SIERRA 2500 HD",null
2001,"GMC","SIERRA 3500",null
2001,"GMC","SIERRA C3",140
2001,"GMC","SONOMA",73
2001,"GMC","T6500",102
2001,"GMC","T7500",null
2001,"GMC","W3500 FORWARD",null
2001,"GMC","W4500 FORWARD",null
2001,"GMC","W5500 FORWARD",27
2001,"GMC","YUKON",null
2001,"GMC","YUKON XL 1500",null
2001,"GMC","YUKON XL 2500",127
2001,"HARLEY DAVIDSON","FLHR ROAD KING",null
2001,"HARLEY DAVIDSON","FLHRCI ROAD KING CLASSIC",null
2001,"HARLEY DAVIDSON","FLHRI ROAD KING",null
2001,"HARLEY DAVIDSON","FLHT ELECTRA GLIDE STANDARD",62
2001,"HARLEY DAVIDSON","FLHTC ELECTRA GLIDE CLASSIC",null
2001,"HARLEY DAVIDSON","FLHTCI ELECTRA GLIDE CLASSIC",137
2001,"HARLEY DAVIDSON","FLHTCUI ELECTRA GLIDE ULTRA CLASSIC",149
2001,"HARLEY DAVIDSON","FLSTC HERITAGE SOFTAIL CLASSIC",66
2001,"HARLEY DAVIDSON","FLSTCI HERITAGE SOFTAIL CLASSIC",null
2001,"HARLEY DAVIDSON","FLSTF FAT BOY",null
2001,"HARLEY DAVIDSON","FLSTFI FAT BOY",null
2001,"HARLEY DAVIDSON","FLSTS HERITAGE SPRINGER",null
2001,"HARLEY DAVIDSON","FLSTSI HERITAGE SPRINGER",null
2001,"HARLEY DAVIDSON","FLTR ROAD GLIDE",null
2001,"HARLEY DAVIDSON","FLTRI ROAD GLIDE",null
2001,"HARLEY DAVIDSON","FLTRSEI2 SCREAMIN EAGLE ROAD GLIDE",130
2001,"HARLEY DAVIDSON","FXD DYNA SUPER GLIDE",50
2001,"HARLEY DAVIDSON","FXDL DYNA LOW RIDER",null
2001,"HARLEY DAVIDSON","FXDWG DYNA WIDE GLIDE",null
2001,"HARLEY DAVIDSON","FXDWG2",null
2001,"HARLEY DAVIDSON","FXDX DYNA SUPER GLIDE SPORT",null
2001,"HARLEY DAVIDSON","FXDXT DYNA SUPER GLIDE T-SPORT",null
2001,"HARLEY DAVIDSON","FXST SOFTAIL STANDARD",null
2001,"HARLEY DAVIDSON","FXSTB NIGHT TRAIN",75
2001,"HARLEY DAVIDSON","FXSTBI NIGHT TRAIN",54
2001,"HARLEY DAVIDSON","FXSTD SOFTAIL DEUCE",null
2001,"HARLEY DAVIDSON","FXSTDI SOFTAIL DEUCE",121
2001,"HARLEY DAVIDSON","FXSTI SOFTAIL STANDARD",100
2001,"HARLEY DAVIDSON","FXSTS SPRINGER SOFTAIL",null
2001,"HARLEY DAVIDSON","FXSTSI SPRINGER SOFTAIL",null
2001,"HARLEY DAVIDSON","XL1200C SPORTSTER 1200 CUSTOM",23
2001,"HARLEY DAVIDSON","XL1200S SPORTSTER 1200 SPORT",null
2001,"HARLEY DAVIDSON","XL883C SPORTSTER 883 CUSTOM",31
2001,"HARLEY DAVIDSON","XLH1200",null
2001,"HARLEY DAVIDSON","XLH883",null
2001,"HARLEY DAVIDSON","XLH883HUG SPORTSTER 883 HUGGER",null
2001,"HINO","FA1517",null
2001,"HINO","FB1817",25
2001,"HINO","FD2220",null
2001,"HINO","FE2620",null
2001,"HINO","FF3020",null
2001,"HINO","SG3320",null
2001,"HINO","SG3325",24
2001,"HM","CRE 50",null
2001,"HONDA","ACCORD",null
2001,"HONDA","CB250 NIGHTHAWK",104
2001,"HONDA","CB750 NIGHTHAWK",101
2001,"HONDA","CBR1100XX SUPER BLACKBIRD",24
2001,"HONDA","CBR600F F4I",null
2001,"HONDA","CBR929RR",null
2001,"HONDA","CH80 ELITE",null
2001,"HONDA","CIVIC",null
2001,"HONDA","CMX250C REBEL",null
2001,"HONDA","CN250 HELIX",100
2001,"HONDA","CR-V",64
2001,"HONDA","CR125R",91
2001,"HONDA","CR250R",119
2001,"HONDA","CR500R",null
2001,"HONDA","CR80R",null
2001,"HONDA","CR80RB EXPERT",null
2001,"HONDA","GL1500C/CD VALKYRIE",null
2001,"HONDA","GL1500CF VALKYRIE INTERSTATE",12
2001,"HONDA","GL1800 GOLD WING",null
2001,"HONDA","GL1800A GOLD WING ABS",null
2001,"HONDA","INSIGHT",23
2001,"HONDA","NSS 250 JAZZ",63
2001,"HONDA","NSS250 REFLEX",30
2001,"HONDA","NSS250A REFLEX ABS",21
2001,"HONDA","ODYSSEY",null
2001,"HONDA","PASSPORT",null
2001,"HONDA","PRELUDE",null
2001,"HONDA","RVT1000R RC51",116
2001,"HONDA","S2000",140
2001,"HONDA","SA50 ELITE SR",null
2001,"HONDA","SA50P ELITE S",26
2001,"HONDA","ST1100",53
2001,"HONDA","ST1100 ABS",null
2001,"HONDA","TRX250EX SPORTRAX",null
2001,"HONDA","TRX250TM FOURTRAX RECON",null
2001,"HONDA","TRX300EX SPORTRAX",92
2001,"HONDA","TRX350FE FOURTRAX RANCHER 4X4 ES",110
2001,"HONDA","TRX350FM FOURTRAX RANCHER 4X4",26
2001,"HONDA","TRX350TE FOURTRAX RANCHER ES",null
2001,"HONDA","TRX350TM FOURTRAX RANCHER",144
2001,"HONDA","TRX400EX SPORTRAX",null
2001,"HONDA","TRX400FW FOREMAN 4X4",null
2001,"HONDA","TRX450FE FOURTRAX FOREMAN ES",90
2001,"HONDA","TRX450FM FOURTRAX FOREMAN S",null
2001,"HONDA","TRX500FA FOURTRAX FOREMAN RUBICON",79
2001,"HONDA","TRX90 SPORTRAX",null
2001,"HONDA","VF750C MAGNA",null
2001,"HONDA","VFR800 INTERCEPTOR",32
2001,"HONDA","VT1100C SHADOW SPIRIT",108
2001,"HONDA","VT1100C2 SHADOW SABRE",null
2001,"HONDA","VT1100C3 SHADOW AERO",null
2001,"HONDA","VT1100T SHADOW ACE TOUR",null
2001,"HONDA","VT600C SHADOW VLX",95
2001,"HONDA","VT600CD SHADOW VLX DELUXE",null
2001,"HONDA","VT750C/CD SHADOW ACE",null
2001,"HONDA","VT750DC SHADOW SPIRIT",120
2001,"HONDA","VTR1000 SUPER HAWK",null
2001,"HONDA","XR100R",130
2001,"HONDA","XR200R",null
2001,"HONDA","XR250R",null
2001,"HONDA","XR400R",null
2001,"HONDA","XR50R",123
2001,"HONDA","XR650L",null
2001,"HONDA","XR650R",0
2001,"HONDA","XR70R",null
2001,"HONDA","XR80R",94
2001,"HUSABERG","FC470",null
2001,"HUSABERG","FC550",null
2001,"HUSABERG","FE400E",null
2001,"HUSABERG","FE501E",91
2001,"HUSABERG","FE650E",null
2001,"HUSABERG","FX470E",112
2001,"HUSABERG","FX650E",null
2001,"HUSQVARNA","CR125",80
2001,"HUSQVARNA","CR250",null
2001,"HUSQVARNA","CR50",null
2001,"HUSQVARNA","TC610",null
2001,"HUSQVARNA","TE400",54
2001,"HUSQVARNA","TE410",null
2001,"HUSQVARNA","TE570",null
2001,"HUSQVARNA","TE610",2
2001,"HUSQVARNA","WR125",null
2001,"HUSQVARNA","WR250",36
2001,"HUSQVARNA","WR360",null
2001,"HYUNDAI","ACCENT",31
2001,"HYUNDAI","ELANTRA",141
2001,"HYUNDAI","SANTA FE",66
2001,"HYUNDAI","SONATA",null
2001,"HYUNDAI","TIBURON",111
2001,"HYUNDAI","XG300",null
2001,"INDIAN","CHIEF",null
2001,"INDIAN","SCOUT",null
2001,"INDIAN","SPIRIT",null
2001,"INFINITI","G20",85
2001,"INFINITI","I30",79
2001,"INFINITI","Q45",119
2001,"INFINITI","QX4",27
2001,"INTERNATIONAL","1652SC",19
2001,"INTERNATIONAL",2554,null
2001,"INTERNATIONAL",2574,null
2001,"INTERNATIONAL",2654,120
2001,"INTERNATIONAL",2674,null
2001,"INTERNATIONAL",3000,null
2001,"INTERNATIONAL","3000IC",null
2001,"INTERNATIONAL",3400,null
2001,"INTERNATIONAL",3600,119
2001,"INTERNATIONAL",3800,null
2001,"INTERNATIONAL",4700,null
2001,"INTERNATIONAL","4700LP",null
2001,"INTERNATIONAL","4700LPX",114
2001,"INTERNATIONAL",4800,null
2001,"INTERNATIONAL",4900,125
2001,"INTERNATIONAL","5500I",104
2001,"INTERNATIONAL","5600I",111
2001,"INTERNATIONAL","5900I SBA",null
2001,"INTERNATIONAL",8100,null
2001,"INTERNATIONAL","9100I SBA",59
2001,"INTERNATIONAL","9200I SBA",null
2001,"INTERNATIONAL","9400I SBA",null
2001,"INTERNATIONAL","9900I SFA",null
2001,"INTERNATIONAL","9900IX SFA",105
2001,"INTERNATIONAL","GENESIS RE",146
2001,"ISUZU","FRR",null
2001,"ISUZU","FSR",null
2001,"ISUZU","FTR",17
2001,"ISUZU","FVR",63
2001,"ISUZU","NPR",105
2001,"ISUZU","NPR-HD",41
2001,"ISUZU","NQR",null
2001,"ISUZU","RODEO",null
2001,"ISUZU","RODEO SPORT",113
2001,"ISUZU","TROOPER",null
2001,"ISUZU","VEHICROSS",43
2001,"JAGUAR","S-TYPE",66
2001,"JAGUAR","VANDEN PLAS",null
2001,"JAGUAR","X-TYPE",null
2001,"JAGUAR","XJ8",null
2001,"JAGUAR","XJR",12
2001,"JAGUAR","XK8",null
2001,"JAGUAR","XKR",35
2001,"JEEP","CHEROKEE",134
2001,"JEEP","GRAND CHEROKEE",null
2001,"JEEP","TJ",82
2001,"JEEP","WRANGLER",118
2001,"KAWASAKI","BN125 ELIMINATOR",null
2001,"KAWASAKI","EN500C VULCAN 500 LTD",26
2001,"KAWASAKI","EX250F NINJA 250R",104
2001,"KAWASAKI","EX500 NINJA 500R",null
2001,"KAWASAKI","JH1100 1100ZXI",111
2001,"KAWASAKI","JH1100 ULTRA 130",null
2001,"KAWASAKI","JH1200 ULTRA 150",null
2001,"KAWASAKI","JS750 SXI PRO",109
2001,"KAWASAKI","JT1100 1100STX D.I.",27
2001,"KAWASAKI","JT900 900STS",null
2001,"KAWASAKI","JT900 900STX",7
2001,"KAWASAKI","KAF300 MULE 520",113
2001,"KAWASAKI","KAF300 MULE 550",12
2001,"KAWASAKI","KAF620 MULE 3000",null
2001,"KAWASAKI","KAF620 MULE 3010 4X4",33
2001,"KAWASAKI","KAF620 MULE 3020",null
2001,"KAWASAKI","KAF950 MULE 2510 DIESEL",116
2001,"KAWASAKI","KDX200",0
2001,"KAWASAKI","KDX220R",null
2001,"KAWASAKI","KE100",null
2001,"KAWASAKI","KEF300 LAKOTA SPORT",null
2001,"KAWASAKI","KL250 SUPER SHERPA",19
2001,"KAWASAKI","KLF220 BAYOU",28
2001,"KAWASAKI","KLF300 BAYOU 2X4",null
2001,"KAWASAKI","KLF300 BAYOU 4X4",60
2001,"KAWASAKI","KLR250",119
2001,"KAWASAKI","KLR650",null
2001,"KAWASAKI","KLX300R",null
2001,"KAWASAKI","KSF250 MOJAVE",53
2001,"KAWASAKI","KVF300 PRAIRIE 2X4",77
2001,"KAWASAKI","KVF300 PRAIRIE 4X4",16
2001,"KAWASAKI","KVF400 PRAIRIE 2X4",64
2001,"KAWASAKI","KVF400 PRAIRIE 4X4",92
2001,"KAWASAKI","KX100",null
2001,"KAWASAKI","KX125",null
2001,"KAWASAKI","KX250",64
2001,"KAWASAKI","KX500",115
2001,"KAWASAKI","KX60",null
2001,"KAWASAKI","KX65",44
2001,"KAWASAKI","KX85",null
2001,"KAWASAKI","KZ1000C/P POLICE",null
2001,"KAWASAKI","VN1500E VULCAN 1500 CLASSIC",22
2001,"KAWASAKI","VN1500G VULCAN 1500 NOMAD",143
2001,"KAWASAKI","VN1500J/R VULCAN 1500 DRIFTER",94
2001,"KAWASAKI","VN1500L VULCAN NOMAD FI",null
2001,"KAWASAKI","VN1500N VULCAN 1500 CLASSIC FI",141
2001,"KAWASAKI","VN750A VULCAN 750",null
2001,"KAWASAKI","VN800A VULCAN 800",null
2001,"KAWASAKI","VN800B VULCAN 800 CLASSIC",null
2001,"KAWASAKI","VN800E VULCAN 800 DRIFTER",null
2001,"KAWASAKI","W650",123
2001,"KAWASAKI","ZG1000 CONCOURS",27
